"question","response"
"How do I install Smart Pi?","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"What are the prerequisites?","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"How do I run the app?","Run smartpi run from the repo root. For fullscreen use smartpi run --fullscreen. You can also use ./scripts/run_demo.sh. Ensure camera and projector are connected and calibration is done (smartpi calibrate) first."
"How do I calibrate?","Run smartpi calibrate. The wizard shows four corner targets; tap each with your pointer in order (top-left, top-right, bottom-right, bottom-left). Calibration is saved to configs/calibration.yaml. Target: under 2 minutes. See docs/05_calibration_ux.md."
"Where is calibration saved?","Calibration is saved to configs/calibration.yaml. Do not commit this file; it is machine-specific. Use configs/calibration.yaml.example as a schema reference."
"How do I check if my setup works?","Run smartpi healthcheck (or ./scripts/healthcheck.sh). It reports PASS/FAIL for the camera, resolution, FPS, and optionally CPU temperature. Fix any failures before calibrating or running the demo."
"What is app.yaml?","configs/app.yaml holds main app settings: camera_index (e.g. 0), resolution [width height], detector (ir or bright), threshold, profile (e.g. classroom), and optional use_libcamera, use_kalman, projector_profile. See docs/config_reference.md."
"What is camera_index?","camera_index is the camera device number. On Linux, 0 usually means /dev/video0, 1 means /dev/video1. Set it in configs/app.yaml. Use ls /dev/video* to see available devices."
"How do I set resolution?","In configs/app.yaml set resolution as a list, e.g. [640, 480] or [1280, 720]. This is the capture resolution. Projector resolution comes from calibration or projector_profile."
"What is the detector setting?","detector can be ir (IR blob detection for IR pen) or bright (bright-point detection for laser or bright LED). Set it in configs/app.yaml. Use ir when using an IR pen with an IR-sensitive camera."
"What is threshold?","threshold is the pixel intensity (0–255) above which a point is treated as the pointer. Higher values are stricter. It can be set in app.yaml or overridden by the selected profile (configs/profiles/)."
"What are config profiles?","Profiles in configs/profiles/ (e.g. classroom.yaml, dark_room.yaml, daylight.yaml) override app.yaml settings for different lighting. Set profile: classroom (or dark_room, daylight) in app.yaml. They can set threshold, blur, and exposure hints."
"How do I use libcamera on Pi?","Set use_libcamera: true in configs/app.yaml and install picamera2 (e.g. pip install picamera2). Also install libcamera: sudo apt install -y libcamera-dev python3-libcamera. picamera2 is not in requirements.txt."
"What is use_kalman?","use_kalman in app.yaml enables a 2D constant-velocity Kalman filter for pointer smoothing instead of the default EMA. Set to true to try it; default is false."
"What is projector_profile?","projector_profile in app.yaml is the name of a file in hardware/projector_profiles/ (e.g. generic_1080p). When no calibration exists, the app uses that file for display size. Optional."
"No camera detected what do I do?","Check connection (re-seat USB or CSI). On Linux run ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI). Enable camera in raspi-config if needed. Ensure user is in video group: sudo usermod -aG video $USER then log out and back in. Set correct camera_index in configs/app.yaml."
"Low FPS how to fix?","Lower resolution in configs/app.yaml. Lock exposure if supported. Check Pi temperature and cooling. Close other apps. Try a different profile (e.g. dark_room or daylight) in configs/profiles/ to match lighting."
"Cursor not where pointer is?","Recalibrate: run smartpi calibrate again. Tap all four corners accurately with the pointer steady. If the camera was moved, calibration is invalid. Check reprojection error after calibration; if high, repeat or adjust camera angle. See docs/07_troubleshooting.md."
"Lighting too bright or too dark?","Use configs/profiles/ to match the environment: classroom, daylight, or dark_room. Too bright: use darker profile or increase pointer brightness. Too dark: increase exposure or use dark_room profile; ensure pointer is visible to camera."
"App wont start or crashes?","Run pip install -r requirements.txt (or make install). Ensure Python 3.10+. If headless, you need a virtual display or connected projector; Pygame needs a display. Run smartpi healthcheck and check terminal or logs."
"How do I run in kiosk mode?","Copy src/smartpi/services/systemd/smartpi.service to /etc/systemd/system/, edit paths, then sudo systemctl enable smartpi. Or use the autostart desktop file in src/smartpi/services/autostart/ for graphical autostart. See build guide step 8."
"How do I develop without Pi hardware?","Use Docker: docker build -f docker/Dockerfile.dev -t smartpi-dev . then docker run --rm -it smartpi-dev make test (or bash to shell in). Camera and display are limited or mocked on x86."
"What scripts are available?","scripts/install_pi.sh (deps), healthcheck.sh (camera and display check), run_demo.sh (run app), calibrate.sh (wizard), export_diagnostics.sh (bundle for bug reports), enable_kiosk.sh (prints kiosk setup instructions)."
"What does smartpi bom do?","smartpi bom prints the main BOM from hardware/bom.csv to stdout. Use --pen to also print hardware/ir_pen/pen_bom.csv. Use --repo to set repo path (default .). Exits with 1 if main BOM file is missing."
"Where is the BOM?","Main BOM: hardware/bom.csv. IR pen BOM: hardware/ir_pen/pen_bom.csv. See docs/01_bill_of_materials.md for parts list and replication."
"How do I export diagnostics?","Run smartpi export-diagnostics (or ./scripts/export_diagnostics.sh). Default output is diagnostics_bundle.tar.gz with system info and optionally config (excluding calibration). Use -o path and --no-config as needed."
"What is the calibration flow?","Four corner flow: app shows four targets in order; you tap each with the pointer; app records camera-space points; homography is solved and saved to configs/calibration.yaml. Optional validation step shows reprojection error. See docs/05_calibration_ux.md."
"What is reprojection error?","Reprojection error measures how well the homography fits: median distance in projector pixels between expected and transformed points. After calibration, aim for under about 15 px at 1080p. High error means recalibrate or adjust camera."
"What is homography?","Homography is a 3x3 matrix that maps camera image coordinates to projector pixel coordinates. It is computed from four point correspondences (four corners) and saved in configs/calibration.yaml. Used every frame to convert detected pointer position to display position."
"What scenes are available?","Sandbox Draw (draw with pointer, corner hotzone to change color), Particle Field (pointer pushes particles), and STEM Widgets (ruler, angles, graph paper). Select with keys 1, 2, 3 in the app or as configured."
"What is Sandbox Draw?","A scene where you draw with the pointer. Strokes are built on pointer down, move, and up. Top-left corner hotzone cycles color. Implemented in renderer/scenes/sandbox_draw."
"What is Particle Field?","A scene with particles that are pushed away by the pointer. Pointer position applies repulsion; update() steps physics. Implemented in renderer/scenes/particle_field."
